ChEMBL ID,DrugBank ID,Name,ATC code(s),ATC therapeutic group,ATC status,pKa (acidic),SMILES,pKa (basic),pKa (exp.)_1,pKa (exp.)_2,pKa_comment,logP (pred.),logP (exp.),DyeLeS score,Fluorescent,First approval (year),Oral,MW,TPSA,HBD,HBA,lipinski_violations,lipinski_pass,ABCB1_Pgp_CHEMBL
CHEMBL221959,DB08895,Tofacitinib,L04AF01,Противоопухолевые препараты и иммуномодуляторы,Success,9.15,C[C@@H]1CCN(C[C@@H]1N(C)C1=NC=NC2=C1C=CN2)C(=O)CC#N,6.44,,,,1.58,1.81,-2.684366281,False,2012.0,1.0,312.38,88.91,1.0,5.0,0,True,
CHEMBL1502,DB00213,Pantoprazole,A02BC02,ЖКТ и обмен веществ,Success,9.15,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,3.55,3.92,8.19,3.92 and 8.19,2.11,2.05,-0.02519014271,False,2000.0,1.0,383.38,86.33,1.0,6.0,0,True,inhibitor; interaction
CHEMBL489553,DB00867,Ritodrine,G02CA01,Мочеполовая система и половые гормоны,No Drug Record,9.15,C[C@@H](NCCC1=CC=C(O)C=C1)[C@@H](O)C1=CC=C(O)C=C1,9.81,,,,1.53,2.4,-0.8025260597,False,,,287.36,72.72,4.0,4.0,0,True,
,DB09219,Bisoxatin,A06AB09,ЖКТ и обмен веществ,,9.15,OC1=CC=C(C=C1)C1(OC2=CC=CC=C2NC1=O)C1=CC=C(O)C=C1,-5.0,,,,3.61,,-0.4531323502,False,,,333.34,78.79,3.0,4.0,0,True,
CHEMBL1257073,DB12020,Tecovirimat,J05AX24,Противомикробные (системные),Success,9.15,FC(F)(F)C1=CC=C(C=C1)C(=O)NN1C(=O)[C@H]2[C@H]([C@H]3C=C[C@@H]2[C@@H]2C[C@H]32)C1=O,-6.2,,,,2.03,,0.5179510653,True,2018.0,1.0,376.33,66.48,1.0,3.0,0,True,
CHEMBL83063,,RITODRINE,G02CA01,Мочеполовая система и половые гормоны,,9.15,CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1,9.81,,,,2.35,,-0.8025260597,False,1982.0,1.0,287.36,72.72,4.0,4.0,0,True,
CHEMBL63857,DB04824,Phenolphthalein,A06AB04,ЖКТ и обмен веществ,Success,9.16,OC1=CC=C(C=C1)C1(OC(=O)C2=CC=CC=C12)C1=CC=C(O)C=C1,-6.0,9.7,,9.7 (at 25 °C),4.41,2.41,0.2721461286,False,,0.0,318.33,66.76,2.0,4.0,0,True,
CHEMBL1454946,DB08974,Flubendazole,P02CA05,Противопаразитарные препараты,Success,9.17,COC(=O)NC1=NC2=C(N1)C=CC(=C2)C(=O)C1=CC=C(F)C=C1,3.42,,,,2.87,,1.231735472,True,,,313.29,84.08,2.0,4.0,0,True,
CHEMBL1201039,DB00562,Benzthiazide,G01AE10,Мочеполовая система и половые гормоны,No ATC,9.18,NS(=O)(=O)C1=CC2=C(C=C1Cl)N=C(CSCC1=CC=CC=C1)NS2(=O)=O,-4.7,6.0,,6,2.25,1.73,-0.5349790305,False,1960.0,1.0,431.95,118.69,2.0,6.0,0,True,
CHEMBL184412,DB04855,Dronedarone,C01BD07,Сердечно-сосудистая система,Success,9.18,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,10.31,,,,6.46,4.63,-0.1032860079,False,2009.0,1.0,556.77,88.85,1.0,6.0,2,False,
